PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=0.129 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=13.7 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=0.239 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=0.129 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=5.01 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=0.332 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=0.133 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=1.89 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=0.169 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=0.314 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=8.30 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=0.128 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=1.65 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=0.154 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=0.395 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=2.01 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=3.25 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=1.57 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=0.093 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=0.140 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=0.139 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=0.230 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=0.205 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=0.145 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=0.238 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=1.91 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=1.37 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=0.143 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=0.328 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=0.191 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=0.261 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=2.61 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=6.49 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=0.169 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=1.94 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=0.177 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=0.171 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=1.69 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=0.181 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=2.00 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=0.188 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=2.04 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=0.142 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=0.275 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=1.93 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=3.22 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=0.105 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=2.73 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=0.410 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=5.65 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=0.199 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=0.381 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=1.25 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=0.808 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=1.58 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=1.72 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=1.21 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=6.75 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=0.131 ms
