PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=0.446 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=0.464 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=0.551 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=0.170 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=0.174 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=0.167 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=0.520 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=0.471 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=0.360 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=0.264 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=0.121 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=0.137 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=0.138 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=0.213 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=0.551 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=0.368 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=0.431 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=0.422 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=7.57 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=0.400 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=0.165 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=0.397 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=0.416 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=0.428 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=0.267 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=0.188 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=0.375 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=0.544 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=0.159 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=0.322 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=0.436 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=0.516 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=0.367 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=12.6 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=0.208 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=0.381 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=0.197 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=0.129 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=0.171 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=0.424 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=0.432 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=0.404 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=0.302 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=0.293 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=0.162 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=0.312 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=0.436 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=0.618 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=0.510 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=0.668 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=0.471 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=0.553 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=0.127 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=0.198 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=0.483 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=0.432 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=0.501 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=3.95 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=0.459 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=0.409 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=0.160 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=2.71 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=0.142 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=0.406 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=0.417 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=0.631 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=0.384 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=0.397 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=0.419 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=0.163 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=16.3 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=0.181 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=0.372 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=0.195 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=0.202 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=0.156 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=0.411 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=0.140 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=0.375 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=0.367 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=0.186 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=0.133 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=0.186 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=0.141 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=0.146 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=0.402 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=0.189 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=0.338 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=0.211 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=0.405 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=0.430 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=0.318 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=0.165 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=0.403 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=0.308 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=0.570 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=0.406 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=0.410 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=0.443 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=0.396 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=0.157 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=0.151 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=0.391 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=18.0 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=0.285 ms
